post_id,anomaly_type
to64mgey2v3y,HTML Entities/Tags in Text
ckz4ciuuw7c5,HTML Entities/Tags in Text
xd96337v76wx,HTML Entities/Tags in Text
s5rqx7wko7m1,HTML Entities/Tags in Text
p7h083r7vums,HTML Entities/Tags in Text
wd436n6ouxir,HTML Entities/Tags in Text
9aebqwidw4n6,HTML Entities/Tags in Text
96xkquvldqrm,HTML Entities/Tags in Text
szo0hhgxcbvn,HTML Entities/Tags in Text
zf1w3c9xs1gd,HTML Entities/Tags in Text
wrpuf437gh64,HTML Entities/Tags in Text
nap5vkbmyrys,HTML Entities/Tags in Text
ca41scke5hc1,HTML Entities/Tags in Text
ggm0o09gniaq,HTML Entities/Tags in Text
u085n5n0c3xw,HTML Entities/Tags in Text
kjujs5t6d3fq,HTML Entities/Tags in Text
ibm43s0977z3,HTML Entities/Tags in Text
11tqzysq0g7q,HTML Entities/Tags in Text
xe673nhgfbbr,HTML Entities/Tags in Text
4m0fhsubh3ib,HTML Entities/Tags in Text
8lsclpnhm5yt,HTML Entities/Tags in Text
wbb51kgps34m,HTML Entities/Tags in Text
jejwhl2985wt,HTML Entities/Tags in Text
drehaxyr40ng,HTML Entities/Tags in Text
c0agl56ja1lo,HTML Entities/Tags in Text
5rk6uf9nmtef,HTML Entities/Tags in Text
lo3k5f63ppkj,HTML Entities/Tags in Text
r5cshwxwdu4f,HTML Entities/Tags in Text
qe6fzwx8qx0d,HTML Entities/Tags in Text
hbq697fbmm31,HTML Entities/Tags in Text
qjphn8r6reoe,HTML Entities/Tags in Text
vov15c8f9hn4,HTML Entities/Tags in Text
x6zat94ujy5r,HTML Entities/Tags in Text
8xvn18f0iur9,HTML Entities/Tags in Text
8d6ydbqjam6p,HTML Entities/Tags in Text
jcgovdqrmd6w,HTML Entities/Tags in Text
doei4jjymwyx,HTML Entities/Tags in Text
fd0j2eg2zvd4,HTML Entities/Tags in Text
hyltbneepnz5,HTML Entities/Tags in Text
njxzpz8kd1s0,HTML Entities/Tags in Text
gytbka5l0xgs,HTML Entities/Tags in Text
9rpvawhhieof,HTML Entities/Tags in Text
rkkkg5aot86o,HTML Entities/Tags in Text
0x8w7br3q0a4,HTML Entities/Tags in Text
2m5fdix6ku0n,HTML Entities/Tags in Text
w1f3x7uhpot6,HTML Entities/Tags in Text
9rliazbugj1e,HTML Entities/Tags in Text
ckcf7hpxz3gk,HTML Entities/Tags in Text
po8vcg83oomy,HTML Entities/Tags in Text
o5p7vvxf7xbe,HTML Entities/Tags in Text
h9yi2akmi82j,HTML Entities/Tags in Text
uj6p0712dxnc,HTML Entities/Tags in Text
h0g08c7cnj44,HTML Entities/Tags in Text
vun6gbniy3wr,HTML Entities/Tags in Text
7u9zk21a9c0r,HTML Entities/Tags in Text
nlpc8ozpkd3u,HTML Entities/Tags in Text
hs65mv60mdb9,HTML Entities/Tags in Text
prgzm38ols94,HTML Entities/Tags in Text
030vdql1vwxl,HTML Entities/Tags in Text
hsxt2gzs8k48,HTML Entities/Tags in Text
2itvr7s90wap,HTML Entities/Tags in Text
uwxsmp4ljm6c,HTML Entities/Tags in Text
25lxm69odb9h,HTML Entities/Tags in Text
vgobwbzhnu3t,HTML Entities/Tags in Text
5tgvd1ue8e5y,HTML Entities/Tags in Text
7c9nozhw51xg,HTML Entities/Tags in Text
w36i8vwkev80,HTML Entities/Tags in Text
grko4lgzl8rz,HTML Entities/Tags in Text
36o8182sh9bn,HTML Entities/Tags in Text
jcnmy3g3az1n,HTML Entities/Tags in Text
rx6acp3v6cyv,HTML Entities/Tags in Text
nap5vkbmyrys,HTML Entities/Tags in Text
02vdvvsovgsk,HTML Entities/Tags in Text
a7jjxuxmbh9t,HTML Entities/Tags in Text
h1zd89ozn13d,HTML Entities/Tags in Text
y0plnllq8zbq,HTML Entities/Tags in Text
wyepixrw3jpb,HTML Entities/Tags in Text
466t5yuijwdw,HTML Entities/Tags in Text
o4z97nmoygt7,HTML Entities/Tags in Text
khxjbe8wiyws,HTML Entities/Tags in Text
hziq3bs1jnwi,HTML Entities/Tags in Text
htlhzd3lvkjk,HTML Entities/Tags in Text
u5cker47kjsr,HTML Entities/Tags in Text
gq68086xz3y2,HTML Entities/Tags in Text
4tjvx9d0ybr4,HTML Entities/Tags in Text
qv74x8tnmfl1,HTML Entities/Tags in Text
x8m337jcma8s,HTML Entities/Tags in Text
ksym6087oldp,HTML Entities/Tags in Text
97dj3lym0s9g,HTML Entities/Tags in Text
14uxg6fklwji,HTML Entities/Tags in Text
itfqk3897jwx,HTML Entities/Tags in Text
8gy63xnolzzm,HTML Entities/Tags in Text
jrgekk75asku,HTML Entities/Tags in Text
eq9c8m5f1d2c,HTML Entities/Tags in Text
8ngrlv1y3gau,HTML Entities/Tags in Text
6dj8iphf7rzk,HTML Entities/Tags in Text
oy8x9ndlu73t,HTML Entities/Tags in Text
elh3kjhms94q,HTML Entities/Tags in Text
tmsjgeng6c8z,HTML Entities/Tags in Text
0wzhn1db5b2n,HTML Entities/Tags in Text
65gsj2nqid6j,HTML Entities/Tags in Text
ywfosxwfi31j,HTML Entities/Tags in Text
7juyimmol54j,HTML Entities/Tags in Text
x2q9zmifq3tj,HTML Entities/Tags in Text
tstwhgs7cc93,HTML Entities/Tags in Text
gw2vmwojjzno,HTML Entities/Tags in Text
ehy8ci55r7do,HTML Entities/Tags in Text
v0pjqj6dgaj5,HTML Entities/Tags in Text
4x5slw5j5kfm,HTML Entities/Tags in Text
kj3n7vzg5i73,HTML Entities/Tags in Text
ghjbua1qgv1x,HTML Entities/Tags in Text
qarmoo51vub7,HTML Entities/Tags in Text
1w1wrgzh4r6l,HTML Entities/Tags in Text
8mf0pwf3qdyd,HTML Entities/Tags in Text
7futchvawt7b,HTML Entities/Tags in Text
6vx1pc4nvxlp,HTML Entities/Tags in Text
9bey0vindl28,HTML Entities/Tags in Text
y6lxgmxqazqq,HTML Entities/Tags in Text
hkspdhbvlx7d,HTML Entities/Tags in Text
z5hxataf83dc,HTML Entities/Tags in Text
